collection,name,lrv,r,g,b
3D-System plus,3D Magma 115,55,226,181,173
3D-System plus,3D Magma 120,73,246,218,211
3D-System plus,3D Magma 125,13,171,60,48
3D-System plus,3D Magma 130,22,196,99,78
3D-System plus,3D Magma 135,32,215,128,112
3D-System plus,3D Magma 140,45,228,158,144
3D-System plus,3D Magma 145,60,243,187,177
3D-System plus,3D Magma 150,77,254,221,213
3D-System plus,3D Cameo 5,28,151,134,130
3D-System plus,3D Cameo 10,41,180,166,163
3D-System plus,3D Cameo 15,57,204,195,192
3D-System plus,3D Cameo 20,64,221,205,200
3D-System plus,3D Cameo 25,78,234,226,224
3D-System plus,3D Cameo 30,80,241,234,231
3D-System plus,3D Cameo 35,19,129,108,103
3D-System plus,3D Cameo 40,31,165,141,135
3D-System plus,3D Cameo 45,40,188,160,152
3D-System plus,3D Cameo 50,47,198,174,167
3D-System plus,3D Cameo 55,67,229,209,206
3D-System plus,3D Cameo 60,84,250,236,233
3D-System plus,3D Cameo 65,19,142,105,96
3D-System plus,3D Cameo 70,28,169,131,121
3D-System plus,3D Cameo 75,39,202,155,144
3D-System plus,3D Cameo 80,55,219,185,175
3D-System plus,3D Cameo 85,68,237,207,201
3D-System plus,3D Cameo 90,77,252,226,219
3D-System plus,3D Cameo 95,13,137,78,63
3D-System plus,3D Cameo 100,24,175,118,103
3D-System plus,3D Cameo 105,41,226,154,137
3D-System plus,3D Cameo 110,48,223,170,156
3D-System plus,3D Cameo 115,62,240,196,187
3D-System plus,3D Cameo 120,75,255,223,213
3D-System plus,3D Cameo 125,15,163,79,61
3D-System plus,3D Cameo 130,20,174,98,84
3D-System plus,3D Cameo 135,29,201,123,105
3D-System plus,3D Cameo 140,49,247,164,143
3D-System plus,3D Cameo 145,56,247,182,165
3D-System plus,3D Cameo 150,79,255,228,220
3D-System plus,3D Cameo 155,22,211,85,64
3D-System plus,3D Cameo 160,22,221,79,57
3D-System plus,3D Cameo 165,24,232,85,57
3D-System plus,3D Cameo 170,33,238,120,92
3D-System plus,3D Cameo 175,49,255,159,136
3D-System plus,3D Cameo 180,65,255,199,182
3D-System plus,3D Lachs 5,38,190,152,140
3D-System plus,3D Lachs 10,49,212,173,160
3D-System plus,3D Lachs 15,57,226,190,177
3D-System plus,3D Lachs 20,66,239,205,193
3D-System plus,3D Lachs 25,77,250,222,213
3D-System plus,3D Lachs 30,81,254,231,222
3D-System plus,3D Lachs 35,27,182,124,105
3D-System plus,3D Lachs 40,34,192,144,128
3D-System plus,3D Lachs 45,41,204,160,146
3D-System plus,3D Lachs 50,44,222,161,142
3D-System plus,3D Lachs 55,57,238,186,173
3D-System plus,3D Lachs 60,73,255,217,203
3D-System plus,3D Lachs 65,19,170,97,73
3D-System plus,3D Lachs 70,29,209,123,91
3D-System plus,3D Lachs 75,35,219,137,104
3D-System plus,3D Lachs 80,40,231,148,122
3D-System plus,3D Lachs 85,63,255,194,170
3D-System plus,3D Lachs 90,73,255,210,190
3D-System plus,3D Lachs 95,18,188,81,45
3D-System plus,3D Lachs 100,20,188,93,62
3D-System plus,3D Lachs 105,26,207,110,75
3D-System plus,3D Lachs 110,25,224,93,54
3D-System plus,3D Lachs 115,33,234,125,89
3D-System plus,3D Lachs 120,47,255,160,130
3D-System plus,3D Aprico 5,35,176,150,139
3D-System plus,3D Aprico 10,42,190,165,155
3D-System plus,3D Aprico 15,58,212,196,188
3D-System plus,3D Aprico 20,67,221,209,203
3D-System plus,3D Aprico 25,78,236,227,224
3D-System plus,3D Aprico 30,80,240,232,229
3D-System plus,3D Aprico 35,20,144,109,96
3D-System plus,3D Aprico 40,28,167,134,120
3D-System plus,3D Aprico 45,48,215,173,159
3D-System plus,3D Aprico 50,59,224,192,179
3D-System plus,3D Aprico 55,67,241,207,194
3D-System plus,3D Aprico 60,77,254,226,212
3D-System plus,3D Aprico 65,29,177,132,114
3D-System plus,3D Aprico 70,35,189,147,130
3D-System plus,3D Aprico 75,49,231,174,148
3D-System plus,3D Aprico 80,56,234,186,166
3D-System plus,3D Aprico 85,57,231,188,171
3D-System plus,3D Aprico 90,66,249,205,189
3D-System plus,3D Aprico 95,21,160,108,85
3D-System plus,3D Aprico 100,35,212,139,107
3D-System plus,3D Aprico 105,33,197,141,117
3D-System plus,3D Aprico 110,41,227,153,119
3D-System plus,3D Aprico 115,49,241,167,133
3D-System plus,3D Aprico 120,48,238,170,142
3D-System plus,3D Aprico 125,22,197,100,58
3D-System plus,3D Aprico 130,30,214,126,84
3D-System plus,3D Aprico 135,28,203,123,90
3D-System plus,3D Aprico 140,34,244,122,68
3D-System plus,3D Aprico 145,38,255,132,73
3D-System plus,3D Aprico 150,55,255,180,144
3D-System plus,3D Aprico 155,27,217,109,58
3D-System plus,3D Aprico 160,39,235,143,95
3D-System plus,3D Aprico 165,51,252,169,128
3D-System plus,3D Aprico 170,62,255,191,158
